source_id,case_label,time_s,span_name,bin_index,selection_status,stored_bulk_temp_flow_weighted_k,stored_bulk_temp_area_weighted_k,exact_bulk_temp_flow_weighted_k,exact_bulk_temp_cp_weighted_k,exact_bulk_temp_area_weighted_k,delta_exact_minus_stored_flow_k,delta_exact_flow_minus_stored_flow_k,delta_exact_cp_minus_exact_flow_k
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,21,aligned_area_match,315.8268343893661,315.7972393123527,315.826832133057,315.8268393923391,315.7972393123527,5.002972955026053e-06,-2.2563091306437855e-06,7.259282085669838e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,22,aligned_area_match,315.864233739823,315.81909657341765,315.864231271777,315.8642391628875,315.81909657341765,5.42306446504881e-06,-2.468046034209692e-06,7.891110499258502e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,23,aligned_area_match,315.87737664734834,315.8233110513132,315.8773740363838,315.87738238315876,315.8233110513132,5.735810418627807e-06,-2.61096454323706e-06,8.346774961864867e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,24,aligned_area_match,315.89251960096385,315.82428514931087,315.89251677058576,315.8925258388543,315.82428514931087,6.237890431748383e-06,-2.8303780936767e-06,9.068268525425083e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,25,aligned_area_match,315.91457593635835,315.8293496131038,315.91457250681026,315.9145834688237,315.8293496131038,7.532465360782226e-06,-3.4295480872970074e-06,1.0962013448079233e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,26,aligned_area_match,315.90121244302765,315.81679784941394,315.9012092057926,315.9012195348778,315.81679784941394,7.091850136475841e-06,-3.2372350347031897e-06,1.0329085171179031e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,27,aligned_area_match,315.87343415061156,315.7995277393824,315.873431829921,315.8734392688388,315.7995277393824,5.1182272500227555e-06,-2.3206905552797252e-06,7.438917805302481e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,28,aligned_area_match,315.8836972161015,315.8049732414137,315.8836953642279,315.88370131518366,315.8049732414137,4.099082161701517e-06,-1.8518736055739282e-06,5.950955767275445e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,29,aligned_area_match,315.9020056254709,315.8116105610633,315.9020037482582,315.9020098016973,315.8116105610633,4.176226411800599e-06,-1.8772126963995106e-06,6.053439108200109e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,30,aligned_area_match,315.88314296706534,315.7935555633771,315.8831411516293,315.88314702744145,315.7935555633771,4.06037611355714e-06,-1.8154360645894485e-06,5.875812178146589e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,31,aligned_area_match,315.8648284908526,315.78055639857143,315.86482697711887,315.8648318892751,315.78055639857143,3.3984225069616514e-06,-1.5137337072701484e-06,4.9121562142318e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,32,aligned_area_match,315.86532895580876,315.77600348873654,315.86532749523775,315.86533222223443,315.77600348873654,3.266425665060524e-06,-1.4605710134674155e-06,4.726996678527939e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,33,aligned_area_match,315.88260574321913,315.7767307786985,315.88260408030897,315.8826094643884,315.7767307786985,3.721169264281343e-06,-1.6629101651233213e-06,5.3840794294046646e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,0,aligned_area_match,315.88260574321913,315.7767307786985,315.88260408030897,315.8826094643884,315.7767307786985,3.721169264281343e-06,-1.6629101651233213e-06,5.3840794294046646e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,1,aligned_area_match,315.84072097094946,315.76468127572883,315.8407196816753,315.84072386840865,315.76468127572883,2.897459182804596e-06,-1.2892741665382346e-06,4.1867333493428305e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,2,aligned_area_match,315.82409337366545,315.74738733609036,315.8240924213016,315.8240955322755,315.74738733609036,2.1586100729109603e-06,-9.523638482278329e-07,3.1109739211387932e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,3,aligned_area_match,315.8364885645223,315.7487853915091,315.83648766416746,315.83649061426274,315.7487853915091,2.0497404307207034e-06,-9.003548484542989e-07,2.9500952791750024e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,4,aligned_area_match,315.85344136705856,315.74142442040227,315.8534402529832,315.8534439148113,315.74142442040227,2.5477527287876e-06,-1.1140753599647724e-06,3.6618280887523724e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,5,aligned_area_match,315.83332477256135,315.71289603917876,315.83332339547195,315.83332792331436,315.71289603917876,3.1507530025010055e-06,-1.3770894042863802e-06,4.527842406787386e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,6,aligned_area_match,315.7351843912753,315.6395506708529,315.7351838320063,315.73518572130087,315.6395506708529,1.330025554580061e-06,-5.592689831246389e-07,1.8892945377047e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,7,aligned_area_match,315.7259894501556,315.6215882766958,315.72598882093325,315.7259909507899,315.6215882766958,1.500634255080513e-06,-6.292223702075717e-07,2.1298566252880846e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,8,aligned_area_match,315.73066761465924,315.61293284621206,315.7306668708049,315.73066938871904,315.61293284621206,1.7740597968440852e-06,-7.438543434545863e-07,2.5179141402986716e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,9,aligned_area_match,315.7366625672925,315.6056667763832,315.7366617134384,315.73666460394423,315.6056667763832,2.0366517219372327e-06,-8.538540896552149e-07,2.8905058115924476e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,10,aligned_area_match,315.74622911379487,315.60082146488685,315.74622814165656,315.7462314336621,315.60082146488685,2.3198672352009453e-06,-9.721383094074554e-07,3.2920055446084007e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,11,aligned_area_match,315.75334698777954,315.59431357849047,315.7533458730255,315.75334964738545,315.59431357849047,2.659605911503604e-06,-1.1147540135425515e-06,3.7743599250461557e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,12,aligned_area_match,315.75487962917657,315.58474748706755,315.7548783815519,315.7548826055955,315.58474748706755,2.976418954858673e-06,-1.2476246524784074e-06,4.22404360733708e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,13,aligned_area_match,315.760015018348,315.57622357168174,315.7600135713748,315.76001846676985,315.57622357168174,3.4484218645047804e-06,-1.4469731581812084e-06,4.895395022685989e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,14,aligned_area_match,315.763470128437,315.5664844158039,315.7634684635474,315.7634740911539,315.5664844158039,3.962716903060937e-06,-1.6648896234983113e-06,5.627606526559248e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,15,aligned_area_match,315.745640293161,315.545148238454,315.74563861473257,315.74564430939535,315.545148238454,4.01623435664078e-06,-1.678428418472322e-06,5.694662775113102e-06
